ENSG00000000419:ENSG00000259456 DPM1:ADNP-AS1
ENSG00000000457:ENSG00000000460 SCYL3:C1orf112
ENSG00000000457:ENSG00000239494 SCYL3:RN7SL333P
ENSG00000000460:ENSG00000000457 C1orf112:SCYL3
ENSG00000000460:ENSG00000007908 C1orf112:SELE
ENSG00000000460:ENSG00000171806 C1orf112:METTL18
ENSG00000000460:ENSG00000188404 C1orf112:SELL
ENSG00000000460:ENSG00000230704 C1orf112:AL021940.1
ENSG00000001036:ENSG00000229036 FUCA2:VDAC1P8
ENSG00000001036:ENSG00000278206 FUCA2:AL031320.2
ENSG00000001084:ENSG00000231683 GCLC:AL033397.1
ENSG00000001084:ENSG00000249379 GCLC:AL033397.2
ENSG00000001167:ENSG00000124596 NFYA:OARD1
ENSG00000001460:ENSG00000001461 STPG1:NIPAL3
ENSG00000001460:ENSG00000158055 STPG1:GRHL3
ENSG00000001461:ENSG00000001460 NIPAL3:STPG1
ENSG00000001617:ENSG00000207922 SEMA3F:MIR566
ENSG00000001617:ENSG00000235016 SEMA3F:SEMA3F-AS1
ENSG00000001626:ENSG00000077063 CFTR:CTTNBP2
ENSG00000001626:ENSG00000083622 CFTR:AC000061.1
ENSG00000001626:ENSG00000232661 CFTR:AC000111.1
ENSG00000001626:ENSG00000234001 CFTR:AC000111.2
ENSG00000001626:ENSG00000237974 CFTR:AC000111.3
ENSG00000001630:ENSG00000188693 CYP51A1:CYP51A1-AS1
ENSG00000001630:ENSG00000240720 CYP51A1:LRRD1
ENSG00000001631:ENSG00000200769 KRIT1:Y_RNA
ENSG00000001631:ENSG00000221520 KRIT1:MIR1285-1
ENSG00000001631:ENSG00000243107 KRIT1:AC000120.1
ENSG00000002016:ENSG00000250132 RAD52:AC004803.1
ENSG00000002079:ENSG00000284523 MYH16:AC004834.1
ENSG00000002330:ENSG00000173264 BAD:GPR137
ENSG00000002549:ENSG00000249502 LAP3:AC006160.1
ENSG00000002587:ENSG00000222182 HS3ST1:RNA5SP156
ENSG00000002746:ENSG00000181211 HECW1:HECW1-IT1
ENSG00000002746:ENSG00000213717 HECW1:AC004692.1
ENSG00000002746:ENSG00000223258 HECW1:RNU6-575P
ENSG00000002746:ENSG00000228680 HECW1:AC004692.2
ENSG00000002746:ENSG00000231638 HECW1:LUARIS
ENSG00000002746:ENSG00000232006 HECW1:AC005537.1
ENSG00000002746:ENSG00000252983 HECW1:RNU7-35P
ENSG00000002746:ENSG00000264069 HECW1:MIR3943
ENSG00000002822:ENSG00000176349 MAD1L1:AC104129.1
ENSG00000002822:ENSG00000265089 MAD1L1:MIR4655
